region_rus;region;region_rus_from_map;region_EN_from_map;inventive_rate2018;research_expend_region2017;state_subsidy2018;state_subsidy2018_2;grant_fonds;other_types_financing;data_jan2019;phd_students;female;full_time;selffunded;n_uni_phd_prog;n_uni_phd_foreign;n_kandidat_defence2018;n_kandidat_defence_female2018;n_uni_diss_council;n_phdsupervisors2018;phd_superv_professor;n_phd_supervisor_female;n_phd_supervisor_female_prof;n_uni_elibrary;n_readers_elibrary;n_researchers2018;n_unis20172018;RNF_grants;n_researchers_per_grant;n_uni_grants;n_years_grants;n_categories_grants;rnf2014;rnf2015;rnf2016;rnf2017;rnf2018;rnf2019;n_org;n_grants_1row;n_grants_2row;n_grants_3row;n_grants_4row;n_grants_5row;n_grants_6row;n_grants_7row;megagrants_all;n_people_presidentgrant;ECI;randd_subrank1;randd_subrank2;research_outputWoS201517;patents_research_outputWoS201517;call_patents2015;density_foreign_stud;share_expendscience_region;n_projects;region_id;sum_14_19;sh_2014;sh_2015;sh_2016;sh_2017;sh_2018;sh_2019;first_period;second_period;change2015;change2016;change2017;change2018;change2019
Камчатский край;Kamchatka territory;Камчатский край;Kamchat·skiy kray;0.16;0.6;482305.8;180593.1;33918.4;1060.8;814;92;43;73;19;3;0;4;1;0;53;7;25;2;15;500;200;2;10;20;3;0;6;2;1;3;1;2;1;0;0;0;0;0;0;0;0;0;1;0.0287;0.38;0.357;0.474;0.216;0;0.038;0.003;0.539;21;10;0.00179;0.00239;0.00336;0.00061;0.00138;0.00048;0.00251;0.00082;0.00061;0.00097;-0.00275;0.00077;-9E-04
Карачаево-Черкесская Республика;Karachaevo-Chercessian Republic;Карачаево-Черкессия Республика;Karachayevo-Cherkessiya Respublika;0.17;0.68;0;68945;115762;810;533;155;110;33;130;3;1;3;1;0;69;34;35;14;8;118;152;2;7;21.71;1;0;2;2;0;0;2;1;2;0;0;0;0;0;0;0;0;0;12;0.0205;0.39;0.3759;0.715;0.2;0;0.591;0.187;0.425;22;7;0.00179;0;0;0.00122;0.00069;0.00095;6E-04;0.00096;-0.00179;0;0.00122;-0.00053;0.00026
Кемеровская область;Kemerovo region;Кемеровская область;Kemerovskaya oblastʹ;0.64;0.86;453377.8;50401.9;148499.7;26130.6;1756;600;313;310;344;13;3;69;44;3;332;186;155;82;114;2904;480;8;22;21.82;6;0;14;2;4;2;5;5;4;0;0;0;0;0;0;0;0;0;39;0.2351;0.43;0.4145;0.704;0.322;0.356;0.271;0;0.405;23;22;0.00179;0.00957;0.00224;0.00305;0.00346;0.00191;0.00453;0.00281;0.00778;-0.00733;0.00081;4E-04;-0.00155
Кировская область;Kirov region;Кировская область;Kirovskaya oblastʹ;0.68;0.7;21903.2;34294;11616.7;784066.3;1125;367;177;220;244;7;1;3;1;1;177;60;81;22;47;1580;213;4;4;53.25;1;0;4;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;15;0.501;0.44;0.3874;0.42;0.388;0.492;0.074;0;0.209;24;4;0;0;0;0;0.00207;0.00048;0;0.00085;0;0;0;0.00207;-0.0016
Костромская область;Kostroma region;Костромская область;Kostromskaya oblastʹ;0.74;0.08;1500;0;2809.4;0;142;209;83;112;107;2;1;4;4;1;101;41;48;13;23;666;39;2;4;9.75;1;0;3;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0.2457;0.45;0.3807;0.803;0.336;0;0.451;0;0.382;25;4;0;0.00718;0;0;0.00069;0;0.00239;0.00023;0.00718;-0.00718;0;0.00069;-0.00069
Краснодарский край;Krasnodar territory;Краснодарский край;Krasnodarskiy kray;0.9;0.24;348908.1;92053.8;83989.1;57054.9;5098;1917;1037;724;1379;24;8;133;64;4;715;420;295;158;164;4107;1963;20;18;109.06;5;0;11;2;3;0;6;1;6;1;0;1;0;0;0;0;0;1;45;0.1542;0.45;0.3712;0.295;0.398;0.382;0.19;0.016;0.283;26;18;0.00179;0.00718;0;0.00366;0.00069;0.00286;0.00299;0.00241;0.00539;-0.00718;0.00366;-0.00297;0.00217
Красноярский край;Krasnoyarsk territory;Красноярский край;Krasnoyarskiy kray;1.59;0.34;105345.4;4687422.3;211262.5;55355.4;6307;1588;752;1171;512;8;4;152;70;3;673;375;257;120;108;5149;898;7;76;11.82;9;0;47;18;3;9;11;13;22;2;2;1;1;2;0;1;1;8;124;-0.0266;0.48;0.3993;0.468;0.4;0.723;0.133;0.115;0.494;27;76;0.01607;0.00718;0.01009;0.00672;0.00898;0.0105;0.01111;0.00873;-0.00889;0.00291;-0.00337;0.00227;0.00152
Курганская область;Kurgan region;Курганская область;Kurganskaya oblastʹ;0.62;0.17;63702.1;60;4400;15090;601;166;86;84;97;4;2;6;1;0;70;26;31;9;15;693;128;3;1;128;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0.5112;0.39;0.2717;0.301;0.332;0;0.218;0;0.293;28;1;0;0;0.00112;0;0;0;0.00037;0;0;0.00112;-0.00112;0;0
Курская область;Kursk region;Курская область;Kurskaya oblastʹ;2.76;1.53;54223.3;2000;13302.4;5146.1;2567;638;244;436;313;5;3;82;32;1;208;145;73;48;47;1067;167;8;7;23.86;3;0;7;1;2;0;1;1;2;0;0;0;0;0;0;0;0;0;77;0.2686;0.54;0.3985;0.47;0.582;0.39;0.526;0;0.391;29;7;0.00089;0.00478;0;0.00061;0.00069;0.00095;0.00189;0.00075;0.00389;-0.00478;0.00061;8E-05;0.00026
Ленинградская область;Leningrad region;Ленинградская область;Leningradskaya oblastʹ;0.5;0.71;68202.9;81600;111500;34942.6;7229;24;4;24;7;2;1;0;0;0;18;7;10;3;73;3745;580;1;22;26.36;2;0;14;4;0;3;6;2;7;0;0;0;0;0;0;0;0;0;6;0.3029;0.36;0.3374;0.379;0.258;0.473;0.805;0.055;0.403;30;22;0.00357;0;0.00336;0.00366;0.00138;0.00334;0.00231;0.0028;-0.00357;0.00336;3E-04;-0.00228;0.00196
